ID,variant_ID,warehouse_ID,quantityOnHand,quantityReserved,reorderThreshold
inv00000-0000-0000-0000-000000000001,v0000000-0000-0000-0000-000000000001,w0000000-0000-0000-0000-000000000001,45,0,5
inv00000-0000-0000-0000-000000000002,v0000000-0000-0000-0000-000000000001,w0000000-0000-0000-0000-000000000002,30,0,5
inv00000-0000-0000-0000-000000000003,v0000000-0000-0000-0000-000000000002,w0000000-0000-0000-0000-000000000001,25,0,5
inv00000-0000-0000-0000-000000000004,v0000000-0000-0000-0000-000000000003,w0000000-0000-0000-0000-000000000001,80,0,10
inv00000-0000-0000-0000-000000000005,v0000000-0000-0000-0000-000000000004,w0000000-0000-0000-0000-000000000002,60,0,10
inv00000-0000-0000-0000-000000000006,v0000000-0000-0000-0000-000000000005,w0000000-0000-0000-0000-000000000001,35,0,5
inv00000-0000-0000-0000-000000000007,v0000000-0000-0000-0000-000000000006,w0000000-0000-0000-0000-000000000002,50,0,8
inv00000-0000-0000-0000-000000000008,v0000000-0000-0000-0000-000000000007,w0000000-0000-0000-0000-000000000001,40,0,5
inv00000-0000-0000-0000-000000000009,v0000000-0000-0000-0000-000000000008,w0000000-0000-0000-0000-000000000002,55,0,5
inv00000-0000-0000-0000-000000000010,v0000000-0000-0000-0000-000000000009,w0000000-0000-0000-0000-000000000001,70,0,10
