ID,variant_ID,seller_ID,price,currency_code,originalPrice,condition,leadTimeDays,isBuyBoxWinner,isActive
off00000-0000-0000-0000-000000000001,v0000000-0000-0000-0000-000000000001,s0000000-0000-0000-0000-000000000001,2499.00,USD,2699.00,NEW,1,true,true
off00000-0000-0000-0000-000000000002,v0000000-0000-0000-0000-000000000001,s0000000-0000-0000-0000-000000000002,2449.00,USD,2699.00,NEW,2,false,true
off00000-0000-0000-0000-000000000003,v0000000-0000-0000-0000-000000000002,s0000000-0000-0000-0000-000000000001,2899.00,USD,3099.00,NEW,1,true,true
off00000-0000-0000-0000-000000000004,v0000000-0000-0000-0000-000000000003,s0000000-0000-0000-0000-000000000002,348.00,USD,399.00,NEW,1,true,true
off00000-0000-0000-0000-000000000005,v0000000-0000-0000-0000-000000000004,s0000000-0000-0000-0000-000000000001,999.00,USD,1099.00,NEW,1,true,true
off00000-0000-0000-0000-000000000006,v0000000-0000-0000-0000-000000000005,s0000000-0000-0000-0000-000000000001,2199.00,USD,2499.00,NEW,1,true,true
off00000-0000-0000-0000-000000000007,v0000000-0000-0000-0000-000000000006,s0000000-0000-0000-0000-000000000002,379.00,USD,429.00,NEW,1,true,true
off00000-0000-0000-0000-000000000008,v0000000-0000-0000-0000-000000000007,s0000000-0000-0000-0000-000000000001,1199.00,USD,1379.00,NEW,1,true,true
off00000-0000-0000-0000-000000000009,v0000000-0000-0000-0000-000000000008,s0000000-0000-0000-0000-000000000001,1299.00,USD,1499.00,NEW,1,true,true
off00000-0000-0000-0000-000000000010,v0000000-0000-0000-0000-000000000009,s0000000-0000-0000-0000-000000000001,749.00,USD,799.00,NEW,1,true,true
